Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-06-07 01:59:02,2700,117
kujawsko-pomorskie,no-data,2020-06-07 01:59:02,601,47
lubelskie,no-data,2020-06-07 01:59:02,508,16
lubuskie,no-data,2020-06-07 01:59:02,124,0
łódzkie,no-data,2020-06-07 01:59:02,1888,79
małopolskie,no-data,2020-06-07 01:59:02,1327,40
mazowieckie,no-data,2020-06-07 01:59:02,3843,285
opolskie,no-data,2020-06-07 01:59:02,720,49
podkarpackie,no-data,2020-06-07 01:59:02,389,37
podlaskie,no-data,2020-06-07 01:59:02,497,9
pomorskie,no-data,2020-06-07 01:59:02,568,36
śląskie,no-data,2020-06-07 01:59:02,9314,239
świętokrzyskie,no-data,2020-06-07 01:59:02,515,22
warmińsko-mazurskie,no-data,2020-06-07 01:59:02,180,1
wielkopolskie,no-data,2020-06-07 01:59:02,2259,157
zachodniopomorskie,no-data,2020-06-07 01:59:02,553,19
