Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-04-18 00:59:03,893,30
kujawsko-pomorskie,no-data,2020-04-18 00:59:03,387,13
lubelskie,no-data,2020-04-18 00:59:03,290,10
lubuskie,no-data,2020-04-18 00:59:03,81,0
łódzkie,no-data,2020-04-18 00:59:03,607,8
małopolskie,no-data,2020-04-18 00:59:03,596,16
mazowieckie,no-data,2020-04-18 00:59:03,1883,100
opolskie,no-data,2020-04-18 00:59:03,254,13
podkarpackie,no-data,2020-04-18 00:59:03,251,15
podlaskie,no-data,2020-04-18 00:59:03,291,3
pomorskie,no-data,2020-04-18 00:59:03,185,2
śląskie,no-data,2020-04-18 00:59:03,1219,67
świętokrzyskie,no-data,2020-04-18 00:59:03,193,4
warmińsko-mazurskie,no-data,2020-04-18 00:59:03,139,1
wielkopolskie,no-data,2020-04-18 00:59:03,880,48
zachodniopomorskie,no-data,2020-04-18 00:59:03,230,2
