Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-06-23 00:59:03,2 857,136
kujawsko-pomorskie,no-data,2020-06-23 00:59:03,652,49
lubelskie,no-data,2020-06-23 00:59:03,606,17
lubuskie,no-data,2020-06-23 00:59:03,145,0
łódzkie,no-data,2020-06-23 00:59:03,2 878,140
małopolskie,no-data,2020-06-23 00:59:03,1 622,44
mazowieckie,no-data,2020-06-23 00:59:03,4 759,314
opolskie,no-data,2020-06-23 00:59:03,852,50
podkarpackie,no-data,2020-06-23 00:59:03,557,47
podlaskie,no-data,2020-06-23 00:59:03,726,10
pomorskie,no-data,2020-06-23 00:59:03,617,38
śląskie,no-data,2020-06-23 00:59:03,11 955,291
świętokrzyskie,no-data,2020-06-23 00:59:03,719,32
warmińsko-mazurskie,no-data,2020-06-23 00:59:03,211,1
wielkopolskie,no-data,2020-06-23 00:59:03,2 474,170
zachodniopomorskie,no-data,2020-06-23 00:59:03,597,20
