Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-03-31 09:59:02,261,4
kujawsko-pomorskie,no-data,2020-03-31 09:59:02,72,0
lubelskie,no-data,2020-03-31 09:59:02,121,4
lubuskie,no-data,2020-03-31 09:59:02,36,0
łódzkie,no-data,2020-03-31 09:59:02,202,0
małopolskie,no-data,2020-03-31 09:59:02,185,1
mazowieckie,no-data,2020-03-31 09:59:02,487,7
opolskie,no-data,2020-03-31 09:59:02,54,0
podkarpackie,no-data,2020-03-31 09:59:02,80,3
podlaskie,no-data,2020-03-31 09:59:02,36,0
pomorskie,no-data,2020-03-31 09:59:02,51,0
śląskie,no-data,2020-03-31 09:59:02,236,7
świętokrzyskie,no-data,2020-03-31 09:59:02,46,1
warmińsko-mazurskie,no-data,2020-03-31 09:59:02,57,0
wielkopolskie,no-data,2020-03-31 09:59:02,145,3
zachodniopomorskie,no-data,2020-03-31 09:59:02,63,1
