Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-05-13 14:59:02,2088,78
kujawsko-pomorskie,no-data,2020-05-13 14:59:02,577,38
lubelskie,no-data,2020-05-13 14:59:02,398,14
lubuskie,no-data,2020-05-13 14:59:02,92,0
łódzkie,no-data,2020-05-13 14:59:02,1201,45
małopolskie,no-data,2020-05-13 14:59:02,1077,35
mazowieckie,no-data,2020-05-13 14:59:02,2829,225
opolskie,no-data,2020-05-13 14:59:02,500,36
podkarpackie,no-data,2020-05-13 14:59:02,371,29
podlaskie,no-data,2020-05-13 14:59:02,385,7
pomorskie,no-data,2020-05-13 14:59:02,489,28
śląskie,no-data,2020-05-13 14:59:02,4345,157
świętokrzyskie,no-data,2020-05-13 14:59:02,337,13
warmińsko-mazurskie,no-data,2020-05-13 14:59:02,167,1
wielkopolskie,no-data,2020-05-13 14:59:02,1721,125
zachodniopomorskie,no-data,2020-05-13 14:59:02,485,16
