Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-03-24 13:59:02,101,2
kujawsko-pomorskie,no-data,2020-03-24 13:59:02,21,0
lubelskie,no-data,2020-03-24 13:59:02,48,2
lubuskie,no-data,2020-03-24 13:59:02,19,0
łódzkie,no-data,2020-03-24 13:59:02,111,0
małopolskie,no-data,2020-03-24 13:59:02,33,0
mazowieckie,no-data,2020-03-24 13:59:02,175,1
opolskie,no-data,2020-03-24 13:59:02,21,0
podkarpackie,no-data,2020-03-24 13:59:02,37,1
podlaskie,no-data,2020-03-24 13:59:02,7,0
pomorskie,no-data,2020-03-24 13:59:02,22,0
śląskie,no-data,2020-03-24 13:59:02,82,1
świętokrzyskie,no-data,2020-03-24 13:59:02,8,0
warmińsko-mazurskie,no-data,2020-03-24 13:59:02,26,0
wielkopolskie,no-data,2020-03-24 13:59:02,42,2
zachodniopomorskie,no-data,2020-03-24 13:59:02,21,0
