Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-06-05 00:59:02,2660,112
kujawsko-pomorskie,no-data,2020-06-05 00:59:02,599,47
lubelskie,no-data,2020-06-05 00:59:02,504,15
lubuskie,no-data,2020-06-05 00:59:02,122,0
łódzkie,no-data,2020-06-05 00:59:02,1779,74
małopolskie,no-data,2020-06-05 00:59:02,1278,40
mazowieckie,no-data,2020-06-05 00:59:02,3738,279
opolskie,no-data,2020-06-05 00:59:02,693,49
podkarpackie,no-data,2020-06-05 00:59:02,388,36
podlaskie,no-data,2020-06-05 00:59:02,485,9
pomorskie,no-data,2020-06-05 00:59:02,560,35
śląskie,no-data,2020-06-05 00:59:02,8786,225
świętokrzyskie,no-data,2020-06-05 00:59:02,511,22
warmińsko-mazurskie,no-data,2020-06-05 00:59:02,179,1
wielkopolskie,no-data,2020-06-05 00:59:02,2216,154
zachodniopomorskie,no-data,2020-06-05 00:59:02,550,19
